symbol,name,mode,core_group,scan_source,market_phase,side,shares,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,exit_reason,confidence,broker_parent_order_id,pnl,outcome
AI,C3.ai,fourth,non_core,SCHEDULED,MORNING,SELL,63.0,2026-03-27T14:20:00.939825+00:00,2026-03-30T19:25:07.490873+00:00,7.815,7.78,EXTERNAL_EXIT,70.0,a91ca213-7116-48aa-b2f2-4a2793799db3,2.205,WIN
AMZN,Amazon,core_two,core,SCHEDULED,MORNING,SELL,2.0,2026-03-27T14:40:01.526477+00:00,2026-03-30T19:25:08.370175+00:00,201.12,199.52,EXTERNAL_EXIT,100.0,a06eb49c-e0a7-4264-80d8-1717159345a7,3.2,WIN
PLTR,Palantir,core_one,core,SCHEDULED,MIDDAY,SELL,3.0,2026-03-27T16:30:01.612954+00:00,2026-03-30T19:25:09.259993+00:00,143.69,143.3,EXTERNAL_EXIT,90.0,b5cdf892-fed8-4144-b8f0-bc6d1a1282c0,1.17,WIN
TSLA,Tesla,core_one,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T17:30:01.600702+00:00,2026-03-30T19:25:10.138828+00:00,362.235,366.22,EXTERNAL_EXIT,86.0,72b0a1e0-d79a-4f2e-97b0-247bd4c91cce,-3.985,LOSS
GOOGL,Alphabet,core_two,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T17:40:00.935799+00:00,2026-03-30T19:25:11.001380+00:00,274.76,274.58,EXTERNAL_EXIT,90.0,99ffefa4-e5f8-4545-b88e-b956fb02203c,0.18,WIN
HIMS,Hims & Hers,primary,non_core,SCHEDULED,MIDDAY,SELL,25.0,2026-03-27T17:50:01.546774+00:00,2026-03-30T19:25:11.893481+00:00,19.41,19.37,EXTERNAL_EXIT,80.0,e1c99629-c32f-4912-a9c6-f602bfbf85f9,1.0,WIN
AAPL,Apple,core_one,core,SCHEDULED,AFTERNOON,SELL,2.0,2026-03-27T18:30:01.531733+00:00,2026-03-30T19:25:12.771937+00:00,249.36,249.22,EXTERNAL_EXIT,100.0,db80d00a-5a7c-4e6c-bb5f-e461ba699223,0.28,WIN
NFLX,Netflix,core_two,core,SCHEDULED,AFTERNOON,SELL,5.0,2026-03-27T18:40:00.955508+00:00,2026-03-30T19:25:13.642621+00:00,93.24,93.44,EXTERNAL_EXIT,80.0,b85fdb47-48ba-456e-a976-ab4d8bc58a07,-1.0,LOSS
JOBY,Joby Aviation,primary,non_core,SCHEDULED,AFTERNOON,SELL,61.0,2026-03-27T18:50:00.912179+00:00,2026-03-30T19:25:14.521608+00:00,8.145,8.11,EXTERNAL_EXIT,80.0,ba25b830-e199-4360-ae5e-503fbe4b1365,2.135,WIN
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,AFTERNOON,SELL,97.0,2026-03-27T19:00:01.566227+00:00,2026-03-30T19:25:15.394617+00:00,5.125,5.11,EXTERNAL_EXIT,70.0,e8ff711d-9a13-4539-adaa-e67c9ef19960,1.455,WIN
IONQ,IonQ,fourth,non_core,SCHEDULED,AFTERNOON,SELL,18.0,2026-03-27T19:20:01.517793+00:00,2026-03-30T19:25:16.999808+00:00,27.69,27.49,EXTERNAL_EXIT,70.0,94da4a8b-1b9b-4ac6-b7dc-79e3f5db750e,3.6,WIN
NVDA,NVIDIA,core_one,core,SCHEDULED,POWER_HOUR,SELL,2.0,2026-03-27T19:30:01.465952+00:00,2026-03-30T19:25:17.928608+00:00,167.44,169.02,EXTERNAL_EXIT,91.0,f0e896b2-c10a-477d-b836-75b27353b504,-3.16,LOSS
MSFT,Microsoft,core_one,core,SCHEDULED,POWER_HOUR,SELL,1.0,2026-03-27T19:30:01.465952+00:00,2026-03-30T19:25:18.821951+00:00,357.525,357.36,EXTERNAL_EXIT,90.0,46d93a5f-a3dd-4ad1-8926-d265e132e6bb,0.165,WIN
AVGO,Broadcom,core_two,core,SCHEDULED,POWER_HOUR,SELL,1.0,2026-03-27T19:40:01.477014+00:00,2026-03-30T19:25:19.689235+00:00,301.715,301.54,EXTERNAL_EXIT,80.0,6138d723-29b3-428c-943f-ccbec45211be,0.175,WIN
SOFI,SoFi,primary,non_core,SCHEDULED,POWER_HOUR,SELL,32.0,2026-03-27T19:50:01.520754+00:00,2026-03-30T19:25:20.563255+00:00,15.265,15.3884,EXTERNAL_EXIT,90.0,ac0dc9b6-105f-415a-bc13-cee918b60641,-3.9488,LOSS
NVDA,NVIDIA,core_one,core,SCHEDULED,POWER_HOUR,SELL,1.0,2026-03-30T19:30:02.529721+00:00,2026-03-30T19:30:10.745108+00:00,164.385,169.02,EXTERNAL_EXIT,100.0,872c3eca-d734-4661-93f5-f52635818d03,-4.635,LOSS
AAPL,Apple,core_one,core,SCHEDULED,POWER_HOUR,SELL,1.0,2026-03-30T19:30:02.529721+00:00,2026-03-30T19:30:11.647284+00:00,245.875,249.22,EXTERNAL_EXIT,100.0,ad1dd4f8-fe7d-4abc-b23f-ec51605e4e9b,-3.345,LOSS
